scenario,workload,technology,per_node_rps,aggregate_rps,repetition_count,metric_name,mean,median,stddev,min,max,ci95_low,ci95_high
hikari-prod,W5_HTAP,HikariCP,12.0,48.0,5,postgres_backend_connections,87.2,87.0,0.4472135954999579,87.0,88.0,86.6448,87.7552
hikari-prod,W5_HTAP,HikariCP,12.0,48.0,5,postgres_cpu_pct_avg,142.08050030350896,142.55195187165776,2.061627342705633,139.2366842105263,144.6773641304348,139.5210622359105,144.6399383711074
hikari-prod,W5_HTAP,HikariCP,12.0,48.0,5,postgres_rss_mib,19652.554990241937,19624.4957486631,244.39683848772847,19365.70797368421,19979.6049602122,19349.144883541816,19955.965096942058
hikari-prod,W5_HTAP,HikariCP,12.0,48.0,5,proxy_tier_cpu_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hikari-prod,W5_HTAP,HikariCP,12.0,48.0,5,proxy_tier_rss_mib,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hikari-prod,W5_HTAP,HikariCP,12.0,48.0,5,rps_per_db_connection,0.14902383684751758,0.15045913771694755,0.003694569934919602,0.14282525157542614,0.15225673269538978,0.14443715780084365,0.1536105158941915
hikari-prod,W5_HTAP,HikariCP,12.0,48.0,5,successful_rps,12.993638856049113,13.089944981374437,0.2624582284513313,12.5686221386375,13.24633574449891,12.667806166921501,13.319471545176725
ojp-prod,W5_HTAP,OJP,1.0,4.0,5,attempted_rps,3.5303604107436315,3.5308859623376017,0.0008609354694099427,3.5289921936801103,3.5310010071545697,3.5292915895418027,3.5314292319454603
ojp-prod,W5_HTAP,OJP,1.0,4.0,5,error_rate_pct,0.07214206437291897,0.0832408435072142,0.06387827099456901,0.0,0.1664816870144284,-0.007160569565427044,0.15144469831126497
ojp-prod,W5_HTAP,OJP,1.0,4.0,5,error_rps,0.0025465371945500195,0.002938597038751584,0.0022543178517911554,0.0,0.005875151129273313,-0.0002521193845623367,0.005345193773662375
ojp-prod,W5_HTAP,OJP,1.0,4.0,5,offered_rps,4.0,4.0,0.0,4.0,4.0,4.0,4.0
ojp-prod,W5_HTAP,OJP,1.0,4.0,5,ojp_heap_committed_mib,132.6,130.0,3.714835124201342,130.0,138.0,127.98816243130788,137.21183756869212
ojp-prod,W5_HTAP,OJP,1.0,4.0,5,ojp_heap_used_mib,76.95,77.24,1.481856943162866,74.62,78.72,75.110326557326,78.789673442674
ojp-prod,W5_HTAP,OJP,1.0,4.0,5,p95_latency_ms,1726.6678,1629.183,273.6118131718732,1455.615,2099.7110000000002,1386.9883264741593,2066.3472735258406
ojp-prod,W5_HTAP,OJP,1.0,4.0,5,p99_latency_ms,6397.5414,6195.1990000000005,731.3488004042939,5564.415,7374.847,5489.597504576763,7305.485295423237
ojp-prod,W5_HTAP,OJP,1.0,4.0,5,postgres_backend_connections,13.0,13.0,0.0,13.0,13.0,13.0,13.0
ojp-prod,W5_HTAP,OJP,1.0,4.0,5,postgres_cpu_pct_avg,23.556323105229563,23.18539697542533,2.3903937951170446,20.56138090824838,26.830398832684825,20.58873301314993,26.523913197309195
ojp-prod,W5_HTAP,OJP,1.0,4.0,5,postgres_rss_mib,3634.3299975275086,3629.199138090825,22.42262713322595,3609.7710586011344,3658.36656614786,3606.493092054074,3662.166903000943
