label,run_dir,scenario,workload,technology,per_node_rps,aggregate_rps,load_source,successful_rps,completed_rps,error_rps,attempted_rps,offered_rps,error_rate_pct,p95_latency_ms,p99_latency_ms,postgres_backend_connections,rps_per_db_connection,postgres_cpu_pct_avg,postgres_rss_mib,proxy_tier_cpu_pct,proxy_tier_rss_mib,duration_seconds,ojp_heap_used_mib,ojp_heap_committed_mib,ojp_heap_max_mib,ojp_heap_utilisation_percent,error_count_sqltransientexception,error_count_sqltransientconnectionexception,error_count_statusruntimeexception,error_count_sqlexception,error_count_timeout,error_count_connection_acquisition_failure,error_count_admission_control_failure,error_count_other,repetition,repetition_count
OJP E,ojp-prod-20260701-180805,ojp-prod,W5_HTAP,OJP,1.0,4.0,runInfo.targetRps_per_node,3.523117042550837,3.5289921936801103,0.005875151129273313,3.5289921936801103,4.0,0.1664816870144284,2099.7110000000002,7374.847,13.0,0.2710090032731413,26.830398832684825,3658.36656614786,3.923165554881747,619.5605639781686,900.0,77.24,135.0,,,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,5,5
OJP F,ojp-prod-20260701-194147,ojp-prod,W5_HTAP,OJP,4.0,16.0,runInfo.targetRps_per_node,12.82412445558031,13.932004053734246,1.1078795981539367,13.901123678424453,16.0,7.952341368800221,5314.558999999999,15114.239000000001,13.0,0.9864711119677162,108.54607538802661,5349.831951219512,5.8231512605042015,648.1920648259304,900.0,81.88,135.0,,,398.0,0.0,582.0,168.0,0.0,0.0,0.0,0.0,1,5
OJP G,ojp-prod-20260701-211540,ojp-prod,W5_HTAP,OJP,4.0,16.0,runInfo.targetRps_per_node,12.900211402473438,14.014205039722489,1.1139936372490495,13.976375161750667,16.0,7.948487156407949,5101.567,13484.030999999999,13.0,0.9923239540364184,106.82504366812226,5307.58557860262,5.836454326923076,639.1552584134616,900.0,79.35499999999999,130.0,,,29.0,0.0,902.0,217.0,0.0,0.0,0.0,0.0,2,5
OJP H,ojp-prod-20260701-224915,ojp-prod,W5_HTAP,OJP,4.0,16.0,runInfo.targetRps_per_node,13.188974407022533,13.99730820876912,0.8083338017465868,13.943091827993896,16.0,5.7745504840940525,4904.959,12095.487000000001,13.0,1.014536492847887,106.94183189655173,5220.786443965518,5.875604329524956,635.0821888153939,900.0,76.93,125.0,,,121.0,0.0,555.0,158.0,0.0,0.0,0.0,0.0,3,5
OJP I,ojp-prod-20260702-002242,ojp-prod,W5_HTAP,OJP,4.0,16.0,runInfo.targetRps_per_node,12.793879309745176,14.047656349209355,1.2537770394641798,14.010696110611882,16.0,8.92535659880903,4808.703,11874.303,13.0,0.9841445622880904,102.8044656084656,5369.895068783068,5.82132007233273,649.4816455696202,900.0,83.50999999999999,135.0,,,380.0,0.0,709.0,200.0,0.0,0.0,0.0,0.0,4,5
OJP J,ojp-prod-20260702-015608,ojp-prod,W5_HTAP,OJP,4.0,16.0,runInfo.targetRps_per_node,12.989958147001012,14.054559325905526,1.0646011789045147,14.018544139418008,16.0,7.575652655633267,4820.991,11689.983,13.0,0.9992275497693086,104.35629989212515,5253.174314994606,5.768008449004225,642.9060470730234,900.0,80.21,133.0,,,332.0,0.0,588.0,174.0,0.0,0.0,0.0,0.0,5,5
OJP K,ojp-prod-20260702-033001,ojp-prod,W5_HTAP,OJP,8.0,32.0,runInfo.targetRps_per_node,7.2959297806953,28.332436371299778,21.036506590604475,27.826796363307487,32.0,74.26944453916187,1619.967,7268.351000000001,13.0,0.5612253677457922,58.82035538005923,5025.764758144126,6.14195223880597,642.8381134328357,900.0,81.225,126.0,,,14473.0,0.0,5335.0,1973.0,0.0,0.0,0.0,0.0,1,5
OJP L,ojp-prod-20260702-050342,ojp-prod,W5_HTAP,OJP,8.0,32.0,runInfo.targetRps_per_node,17.092190978977744,27.98762727672214,10.8954362977444,27.969174830840053,32.0,38.92724560247025,4306.942999999999,19005.439,16.0,1.068261936186109,133.29714606741572,6111.3638089887645,6.819740807715491,651.6751235684147,900.0,82.095,136.0,,,10540.0,0.0,331.0,348.0,0.0,0.0,0.0,0.0,2,5
OJP M,ojp-prod-20260702-063723,ojp-prod,W5_HTAP,OJP,8.0,32.0,runInfo.targetRps_per_node,16.70527889467926,28.015854890218577,11.31057599553932,28.00613104539688,32.0,40.372735475810366,5031.9349999999995,20094.975,16.0,1.0440799309174538,135.95662485746863,6021.092930444698,6.889368231046932,655.70651022864,900.0,79.36,133.0,,,10900.0,0.0,387.0,346.0,0.0,0.0,0.0,0.0,3,5
OJP N,ojp-prod-20260702-081055,ojp-prod,W5_HTAP,OJP,8.0,32.0,runInfo.targetRps_per_node,17.31127632109103,28.088496747515805,10.777220426424774,28.01364867358364,32.0,38.360860081022125,4984.831,21889.023,16.0,1.0819547700681893,134.5306575963719,6111.69231292517,6.765364677516576,643.7556962025318,900.0,81.84,133.0,,,9797.0,0.0,765.0,517.0,0.0,0.0,0.0,0.0,4,5
