run_dir,scenario,bench_replica_count,replicas_in_bundle,sut,workload,load_mode,target_rps_per_replica,open_loop,total_achieved_rps_sum,total_successful_rps_sum,total_error_rps_sum,total_completed_rps_sum,total_attempted_rps_sum,total_requests,total_successful_requests,total_failed_requests,aggregate_error_rate,top_error_types,median_replica_p50_ms,median_replica_p95_ms,median_replica_p99_ms,median_replica_p999_ms,proxy_service_cpu_aligned_peak_pct,proxy_service_cpu_legacy_peak_sum_pct,proxy_host_cpu_aligned_peak_pct,postgres_cpu_pct_peak,postgres_cpu_pct_mean,postgres_rss_mb_peak,postgres_rss_mb_mean,bench_cpu_sum_pct,proxy_rss_mb_aligned_peak,total_cpu_pct,total_rss_mb_peak,comparison_label,comparison_path_resolved,latency_percentiles_source,merged_p50_ms,merged_p95_ms,merged_p99_ms,merged_p999_ms,hdr_unit_divisor
ojp-prod-20260530-083342,ojp-prod,2,2,OJP,W5_HTAP,open-loop,1,True,1.3462582053453755,1.3462582053453755,0.0,1.3462582053453755,1.3417905343099372,1808,1808,0,0.0,,12.203,10334.207,28401.663,42123.263,182.07,456.66999999999996,195.73999999999998,237.95,43.586743515850145,21489.65,5687.970187319884,0.37531286920370543,663.0,420.3953128692037,22152.65,OJP A,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260530-083342,summary_json_median,,,,,
ojp-prod-20260530-101131,ojp-prod,2,2,OJP,W5_HTAP,open-loop,1,True,1.3520504226535897,1.3520504226535897,0.001497287289760343,1.3535477099433502,1.349055848074069,1808,1806,2,0.0011061946902654867,StatusRuntimeException:2,12.979,11030.527,29016.063000000002,41304.062999999995,311.62,453.81,329.50000000000006,233.73,44.17415451895043,17825.36,5565.947857142856,0.4004005007010265,653.44,545.7504005007011,18478.8,OJP B,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260530-101131,summary_json_median,,,,,
ojp-prod-20260530-114927,ojp-prod,2,2,OJP,W5_HTAP,open-loop,1,True,1.3426899674430706,1.3426899674430706,0.0,1.3426899674430706,1.3382341379050957,1808,1808,0,0.0,,12.707,10563.582999999999,28745.727,43597.823000000004,322.27,468.35,341.77,238.5,43.927553648068674,19647.08,5533.416294706723,0.4002002002002002,671.93,561.1702002002002,20319.010000000002,OJP C,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260530-114927,summary_json_median,,,,,
ojp-prod-20260530-132733,ojp-prod,2,2,OJP,W5_HTAP,open-loop,1,True,1.3368905627211873,1.3368905627211873,0.005195797731336001,1.342086360452523,1.3376325340350923,1808,1801,7,0.0038716814159292035,StatusRuntimeException:6; SQLException:1,12.335,12550.143,28368.895,44990.463,298.44000000000005,394.85,315.38,222.61,44.5656772334294,19780.27,5567.629783861672,0.40020050065102647,666.9,521.4502005006511,20447.170000000002,OJP D,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260530-132733,summary_json_median,,,,,
ojp-prod-20260530-150522,ojp-prod,2,2,OJP,W5_HTAP,open-loop,1,True,1.3507299928811012,1.3507299928811012,0.0022449303949070697,1.3529749232760082,1.3484849622474373,1808,1805,3,0.00165929203539823,StatusRuntimeException:3,12.583,12333.055,27934.718999999997,39436.287,317.42,436.39,333.65,236.23,43.04677279305354,17454.14,5486.12487698987,0.4004005007010265,651.3299999999999,554.050400500701,18105.47,OJP E,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260530-150522,summary_json_median,,,,,
ojp-prod-20260530-164446,ojp-prod,2,2,OJP,W5_HTAP,open-loop,4,True,3.0323658834673948,3.0323658834673948,2.3768698198856626,5.409235703353057,5.383075101498874,7237,4057,3180,0.43940859472156973,SQLTransientException:2873; StatusRuntimeException:198; SQLException:109,13.951,19603.455,46088.191000000006,62685.183000000005,197.71,465.19,210.92,253.86,134.9168623481781,26128.39,11102.29809716599,0.6505257886830245,680.0799999999999,452.22052578868306,26808.47,OJP F,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260530-164446,summary_json_median,,,,,
ojp-prod-20260530-182405,ojp-prod,2,2,OJP,W5_HTAP,open-loop,4,True,2.9326875554129543,2.9326875554129543,2.412649677544275,5.345337232957229,5.332010907445701,7220,3961,3259,0.45138504155124654,SQLTransientException:2968; StatusRuntimeException:185; SQLException:106,14.311,20799.487,45449.215,61243.391,309.69,459.82,353.58000000000004,253.27,135.34068410462774,26047.75,11461.057766599595,0.6007512774423285,674.7,563.5607512774424,26722.45,OJP G,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260530-182405,summary_json_median,,,,,
ojp-prod-20260530-200328,ojp-prod,2,2,OJP,W5_HTAP,open-loop,4,True,2.7077168684857655,2.7077168684857655,2.6376951121103076,5.345411980596072,5.32691936940847,7227,3661,3566,0.4934274249342743,SQLTransientException:3314; StatusRuntimeException:142; SQLException:110,17.535,22200.319000000003,55787.519,64192.511,287.44,393.99,297.84,234.35,139.62618951612902,26883.81,12964.011129032258,0.550976765749827,677.38,522.3409767657498,27561.190000000002,OJP H,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260530-200328,summary_json_median,,,,,
ojp-prod-20260530-214320,ojp-prod,2,2,OJP,W5_HTAP,open-loop,4,True,2.8752680676250724,2.8752680676250724,2.4787472828003883,5.3540153504254615,5.337710209546535,7224,3879,3345,0.4630398671096346,SQLTransientException:3169; StatusRuntimeException:95; SQLException:81,16.075,19423.231,45596.671,64651.263000000006,314.96000000000004,459.65000000000003,331.51,261.85,141.87947154471547,22549.34,10856.686605691057,0.6005506508887895,668.65,577.4105506508888,23217.99,OJP I,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260530-214320,summary_json_median,,,,,
ojp-prod-20260530-232327,ojp-prod,2,2,OJP,W5_HTAP,open-loop,4,True,2.931950509513354,2.931950509513354,2.4106588487766647,5.3426093582900185,5.325601636619036,7225,3965,3260,0.45121107266435984,SQLTransientException:3064; StatusRuntimeException:105; SQLException:91,15.203,22675.455,45039.615000000005,64569.343,175.21,378.53,225.76,256.24,140.19014314928427,21443.45,10578.468936605315,0.6007509763143213,679.51,432.05075097631436,22122.96,OJP J,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260530-232327,summary_json_median,,,,,
