run_dir,scenario,bench_replica_count,replicas_in_bundle,sut,workload,load_mode,target_rps_per_replica,open_loop,total_achieved_rps_sum,total_successful_rps_sum,total_error_rps_sum,total_completed_rps_sum,total_attempted_rps_sum,total_requests,total_successful_requests,total_failed_requests,aggregate_error_rate,top_error_types,median_replica_p50_ms,median_replica_p95_ms,median_replica_p99_ms,median_replica_p999_ms,proxy_service_cpu_aligned_peak_pct,proxy_service_cpu_legacy_peak_sum_pct,proxy_host_cpu_aligned_peak_pct,comparison_label,comparison_path_resolved,latency_percentiles_source,merged_p50_ms,merged_p95_ms,merged_p99_ms,merged_p999_ms,hdr_unit_divisor
ojp-prod-20260531-092457,ojp-prod,2,2,OJP,W5_HTAP,open-loop,12,True,4.901410343155291,4.901410343155291,11.155392717624785,16.056803060780076,16.04194780156037,21622,6600,15022,0.6947553417815189,SQLTransientException:14026; SQLException:563; StatusRuntimeException:433,17.775,10952.703000000001,43040.767,63881.215,239.20999999999998,475.75,250.75,OJP P,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260531-092457,summary_json_median,,,,,
ojp-prod-20260531-110450,ojp-prod,2,2,OJP,W5_HTAP,open-loop,12,True,3.6212125344903248,3.6212125344903248,12.488083555145908,16.10929608963623,16.098108926092888,21617,4860,16757,0.7751769440717954,SQLTransientException:13765; StatusRuntimeException:1620; SQLException:1372,12.003,8372.223,28286.975,42385.407,321.65999999999997,464.40999999999997,335.37,OJP Q,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260531-110450,summary_json_median,,,,,
ojp-prod-20260531-124444,ojp-prod,2,2,OJP,W5_HTAP,open-loop,12,True,4.669917866156057,4.669917866156057,11.375950432079664,16.04586829823572,16.033247285325974,21619,6292,15327,0.708959711365003,SQLTransientException:14241; SQLException:651; StatusRuntimeException:435,20.223,12201.983,45662.206999999995,61751.295,323.51,465.02,339.28,OJP R,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260531-124444,summary_json_median,,,,,
ojp-prod-20260531-142450,ojp-prod,2,2,OJP,W5_HTAP,open-loop,12,True,4.556495706170101,4.556495706170101,11.503493451281553,16.059989157451653,16.04364991580053,21624,6135,15489,0.7162874583795783,SQLTransientException:14446; SQLException:653; StatusRuntimeException:390,21.287,15204.350999999999,54280.191,64159.743,297.28999999999996,440.26,314.43,OJP S,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260531-142450,summary_json_median,,,,,
ojp-prod-20260531-160548,ojp-prod,2,2,OJP,W5_HTAP,open-loop,12,True,4.9770667619525835,4.9770667619525835,10.978476177378347,15.955542939330929,15.942258942651215,21620,6744,14876,0.6880666049953746,SQLTransientException:13642; SQLException:716; StatusRuntimeException:518,16.843,12386.303,39337.983,60162.047,296.89,441.03,348.72999999999996,OJP T,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260531-160548,summary_json_median,,,,,
pgbouncer-prod-20260530-080057,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,1,True,1.3427775952693728,1.3427775952693728,0.0,1.3427775952693728,1.3398035585135162,1806,1806,0,0.0,,4.1240000000000006,6590.463,26558.463,42696.703,4.89,7.8100000000000005,100.66,pgBouncer A,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260530-080057,summary_json_median,,,,,
pgbouncer-prod-20260530-093852,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,1,True,1.344052970140097,1.344052970140097,0.0,1.344052970140097,1.340334290162174,1807,1807,0,0.0,,4.052,6971.391,26927.103000000003,41828.350999999995,5.87,6.84,123.86999999999999,pgBouncer B,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260530-093852,summary_json_median,,,,,
pgbouncer-prod-20260530-111641,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,1,True,1.3426749289193642,1.3426749289193642,0.0,1.3426749289193642,1.3397011195529869,1806,1806,0,0.0,,4.144,7014.398999999999,28549.119,42778.623,2.94,7.8100000000000005,115.92000000000002,pgBouncer C,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260530-111641,summary_json_median,,,,,
pgbouncer-prod-20260530-125446,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,1,True,1.344583066403097,1.344583066403097,0.0,1.344583066403097,1.3408629718080536,1807,1807,0,0.0,,4.269,8331.262999999999,27918.335,40828.926999999996,3.91,5.859999999999999,104.91,pgBouncer D,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260530-125446,summary_json_median,,,,,
pgbouncer-prod-20260530-143241,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,1,True,1.344631013094796,1.344631013094796,0.0,1.344631013094796,1.3409106422894281,1807,1807,0,0.0,,4.287000000000001,7507.967000000001,27934.719,41009.151,5.87,6.84,159.43999999999997,pgBouncer E,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260530-143241,summary_json_median,,,,,
pgbouncer-prod-20260530-161135,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,4,True,2.356437585714569,2.356437585714569,3.062704633872528,5.419142219587097,5.315084041722878,7343,3193,4150,0.5651641018657224,SQLTransientConnectionException:4150,26468.351000000002,60030.975,60030.975,65339.391,5.84,10.74,101.47,pgBouncer F,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260530-161135,summary_json_median,,,,,
pgbouncer-prod-20260530-175057,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,4,True,2.1970285134006193,2.1970285134006193,3.2804137527933332,5.477442266193953,5.3150820804539,7422,2977,4445,0.5988951765022905,SQLTransientConnectionException:4445,25706.495000000003,60030.975,60030.975,64782.335,5.85,9.76,136.93,pgBouncer G,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260530-175057,summary_json_median,,,,,
pgbouncer-prod-20260530-193028,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,4,True,2.574148974175287,2.574148974175287,2.9187953575578414,5.492944331733129,5.315086002994752,7443,3488,3955,0.5313717586994492,SQLTransientConnectionException:3955,25280.511,60030.975,60030.975,66240.511,5.85,10.75,93.10999999999999,pgBouncer H,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260530-193028,summary_json_median,,,,,
