label,run_dir,scenario,workload,technology,per_node_rps,aggregate_rps,load_source,successful_rps,completed_rps,error_rps,attempted_rps,offered_rps,error_rate_pct,p95_latency_ms,p99_latency_ms,postgres_backend_connections,rps_per_db_connection,postgres_cpu_pct_avg,postgres_rss_mib,proxy_tier_cpu_pct,proxy_tier_rss_mib,duration_seconds,error_count_sqltransientexception,error_count_sqltransientconnectionexception,error_count_statusruntimeexception,error_count_sqlexception,error_count_timeout,error_count_connection_acquisition_failure,error_count_admission_control_failure,error_count_other,repetition,repetition_count
OJP P,ojp-prod-20260531-092457,ojp-prod,W5_HTAP,OJP,6.0,12.0,runInfo.targetRps_aggregate,4.901410343155291,16.056803060780076,11.155392717624785,16.04194780156037,12.0,69.47553417815189,10952.703000000001,43040.767,20.0,0.24507051715776457,146.7275105485232,12745.610654008437,5.039157832744405,649.2223733804475,900.0,14026.0,0.0,433.0,563.0,0.0,0.0,0.0,0.0,1,5
OJP Q,ojp-prod-20260531-110450,ojp-prod,W5_HTAP,OJP,6.0,12.0,runInfo.targetRps_aggregate,3.6212125344903248,16.10929608963623,12.488083555145908,16.098108926092888,12.0,77.51769440717953,8372.223,28286.975,20.0,0.18106062672451623,110.76583333333332,17996.99755434783,4.501812316715543,655.8317595307918,900.0,13765.0,0.0,1620.0,1372.0,0.0,0.0,0.0,0.0,2,5
OJP R,ojp-prod-20260531-124444,ojp-prod,W5_HTAP,OJP,6.0,12.0,runInfo.targetRps_aggregate,4.669917866156057,16.04586829823572,11.375950432079664,16.033247285325974,12.0,70.89597113650031,12201.983,45662.206999999995,20.0,0.23349589330780285,149.53025751072963,13757.064184549357,5.073001179245284,655.0561615566038,900.0,14241.0,0.0,435.0,651.0,0.0,0.0,0.0,0.0,3,5
OJP S,ojp-prod-20260531-142450,ojp-prod,W5_HTAP,OJP,6.0,12.0,runInfo.targetRps_aggregate,4.556495706170101,16.059989157451653,11.503493451281553,16.04364991580053,12.0,71.62874583795784,15204.350999999999,54280.191,20.0,0.22782478530850506,150.38142250530788,13921.824033970273,5.059292869770182,660.4130229817324,900.0,14446.0,0.0,390.0,653.0,0.0,0.0,0.0,0.0,4,5
OJP T,ojp-prod-20260531-160548,ojp-prod,W5_HTAP,OJP,6.0,12.0,runInfo.targetRps_aggregate,4.9770667619525835,15.955542939330929,10.978476177378347,15.942258942651215,12.0,68.80666049953746,12386.303,39337.983,20.0,0.24885333809762916,145.68508333333332,17108.383854166666,4.919842657342658,650.0909440559441,900.0,13642.0,0.0,518.0,716.0,0.0,0.0,0.0,0.0,5,5
pgBouncer A,pgbouncer-prod-20260530-080057,pgbouncer-prod,W5_HTAP,PgBouncer,0.5,1.0,runInfo.targetRps_aggregate,1.3427775952693728,1.3427775952693728,0.0,1.3398035585135162,1.0,0.0,6590.463,26558.463,16.0,0.0839235997043358,46.04770655270655,21558.989358974362,0.29804425837320575,54.84002990430621,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
pgBouncer B,pgbouncer-prod-20260530-093852,pgbouncer-prod,W5_HTAP,PgBouncer,0.5,1.0,runInfo.targetRps_aggregate,1.344052970140097,1.344052970140097,0.0,1.340334290162174,1.0,0.0,6971.391,26927.103000000003,16.0,0.08400331063375606,46.44607449856734,20734.257378223498,0.300311004784689,54.77127990430621,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
pgBouncer C,pgbouncer-prod-20260530-111641,pgbouncer-prod,W5_HTAP,PgBouncer,0.5,1.0,runInfo.targetRps_aggregate,1.3426749289193642,1.3426749289193642,0.0,1.3397011195529869,1.0,0.0,7014.398999999999,28549.119,16.0,0.08391718305746027,46.06490056818182,19737.805085227275,0.3011806797853309,54.82877757901013,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
pgBouncer D,pgbouncer-prod-20260530-125446,pgbouncer-prod,W5_HTAP,PgBouncer,0.5,1.0,runInfo.targetRps_aggregate,1.344583066403097,1.344583066403097,0.0,1.3408629718080536,1.0,0.0,8331.262999999999,27918.335,16.0,0.08403644165019357,46.8663976945245,21778.428141210377,0.2990155131264916,54.65338305489261,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5
pgBouncer E,pgbouncer-prod-20260530-143241,pgbouncer-prod,W5_HTAP,PgBouncer,0.5,1.0,runInfo.targetRps_aggregate,1.344631013094796,1.344631013094796,0.0,1.3409106422894281,1.0,0.0,7507.967000000001,27934.719,16.0,0.08403943831842475,47.81757532281206,20916.587661406025,0.29937873357228195,54.82687574671445,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5
